Name,Description,Alg,Category,Notes
JB,"[E' : [R' E R , U']]",E' R' E R U' R' E' R U E,U-Swap,
JD,"[L' E2' L , U]",L' E2' L U L' E2 L U',U-Swap,
JE,"[M' : [R S' R' , U']]",M' R S' R' U' R S R' U M,U-Swap,
JF,"[R U' R' , E]",R U' R' E R U R' E',E-Swap,
JG,"[L' E2' : [L U L' , E]]",L' E2' L U L' E L U' L' E L,E-Swap,
JH,"[R2 : [R' U' R , E']]",R U' R E' R' U R E R2,E-Swap,
JK,"[M' , U' R U]",M' U' R U M U' R' U,M-Swap,
JL,"[R' U' R : [E , R2']]",R' U' R E R2' E' R U R,4-Mover,
JM,"[R U : [R' S' R , U]]",R U R' S' R U R' S R U2 R',U-Swap,
JN,"[R U' R' , E']",R U' R' E' R U R' E,E-Swap,
JO,"[R' f R' : [S' , R2]]",R' f R' S' R2 S R' f' R,4-Mover,
JQ,"[M , U' R U]",M U' R U M' U' R' U,M-Swap,
JR,"[R' U' R' : [E' , R2]]",R' U' R' E' R2 E R' U R,4-Mover,
JS,"[U2 : [M , U R U']]",U2 M U R U' M' U R' U,M-Swap,
JT,"[U R' : [S , R2]]",U R' S R2 S' R' U',4-Mover,
JU,"[D' U L : [E' , L2']]",D' U L E' L2' E L U' D,4-Mover,
JV,U R' U' R' U R U R U R' U2,U R' U' R' U R U R U R' U2,Alg,
JW,"[M2' , U' R U]",M2' U' R U M2 U' R' U,M-Swap,
JX,"[U L : [E' , L2']]",U L E' L2' E L U',4-Mover,
KA,"[R' F' : [E , R U R']]",R' F' E R U R' E' R U' R' F R,E-Swap,
KB,"[R : [U' R' U , M']]",R U' R' U M' U' R U M R',M-Swap,
KD,"[L' : [U L U' , M']]",L' U L U' M' U L' U' M L,M-Swap,
KE,"[l' : [U' L U , M']]",l' U' L U M' U' L' U M l,M-Swap,
KF,"[M' : [U' L' U , M']]",M' U' L' U M' U' L U M2,M-Swap,
KG,"[U : [S , L F L']]",U S L F L' S' L F' L' U',S-Swap,
KH,"[M' : [U' L U , M']]",M' U' L U M' U' L' U M2,M-Swap,
KJ,"[U' R U , M']",U' R U M' U' R' U M,M-Swap,
KL,"[U L' U' , M']",U L' U' M' U L U' M,M-Swap,
KM,"[r : [U R' U' , M']]",r U R' U' M' U R U' M r',M-Swap,
